,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
0,2,11,15,8,4.9410905838012695,-1.0,4.318901157379151
1,6,11,15,8,7.417937755584717,-1.0,7.252085113525391
2,7,11,15,8,9.168983459472656,-1.0,10.0
3,6,12,5,13,3.61612606048584,-1.0,1.6730500221252442
4,10,12,5,13,3.2415659427642822,-1.0,5.395396947860718
5,1,9,2,13,5.258805274963379,-1.0,4.106254768371582
6,5,9,2,13,5.673616409301758,-1.0,10.0
7,7,13,11,3,4.028620719909668,-1.0,3.6046052932739263
8,6,13,11,3,6.358294486999512,-1.0,5.281250286102295
9,0,13,11,3,4.131819248199463,-1.0,4.258490085601807
10,1,13,11,3,3.8475069999694815,-1.0,4.976238059997558
11,5,13,11,3,6.085616588592529,-1.0,6.2396142959594725
12,9,13,11,3,8.044015884399414,-1.0,10.0
13,9,0,2,12,4.976682186126709,-1.0,4.979033565521241
14,5,0,2,12,7.871825695037842,-1.0,6.515050983428956
15,4,0,2,12,8.350056648254395,-1.0,10.0
16,15,1,12,5,2.138045310974121,-1.0,2.2818722009658816
17,14,1,12,5,2.8182969093322754,-1.0,1.9777120590209956
18,10,1,12,5,6.232619285583496,-1.0,3.757407093048096
19,6,1,12,5,5.839343547821045,-1.0,5.31309175491333
20,2,1,12,5,7.0145463943481445,-1.0,10.0
21,6,9,1,13,7.190082550048828,-1.0,6.294823169708252
22,12,3,9,8,1.087894320487976,-1.0,2.4273007154464725
23,13,3,9,8,1.966221570968628,-1.0,1.5881089687347414
24,14,3,9,8,3.822575092315674,-1.0,3.581784200668335
25,10,3,9,8,4.909749984741211,-1.0,4.958485698699952
26,6,3,9,8,5.547643184661865,-1.0,6.683044815063477
27,12,0,4,2,1.1571813821792605,-1.0,3.3863125324249266
28,7,8,4,15,2.7732670307159424,-1.0,2.659193563461304
29,6,8,4,15,4.6932220458984375,-1.0,5.00936827659607
30,10,8,4,15,5.462967395782471,-1.0,7.296910190582276
31,9,8,4,15,9.218789100646973,-1.0,10.0
32,15,10,14,13,5.453530311584473,-1.0,6.306622314453125
33,11,10,14,13,8.11846923828125,-1.0,10.0
34,6,8,4,12,3.159536123275757,-1.0,3.425924682617188
35,10,8,4,12,6.054988384246826,-1.0,6.428834056854249
36,11,2,1,13,4.955620765686035,-1.0,4.409901857376099
37,7,2,1,13,7.936498641967773,-1.0,6.087284994125366
38,5,2,1,13,5.809248447418213,-1.0,6.407927417755127
39,6,2,1,13,8.231030464172363,-1.0,10.0
40,3,12,9,7,-1.9346715211868288,-1.0,-1.33759905397892
41,6,12,9,7,2.965932607650757,-1.0,3.5536244392395018
42,11,13,7,3,6.714419364929199,-1.0,4.743246793746948
43,10,13,7,3,6.381385326385498,-1.0,6.724008369445801
44,4,2,9,14,5.300426959991455,-1.0,4.987011098861696
45,5,2,9,14,5.906767845153809,-1.0,6.627793025970459
46,7,2,9,14,5.480394840240479,-1.0,6.414443683624268
47,6,2,9,14,8.23827075958252,-1.0,10.0
48,14,8,5,6,5.846916675567627,-1.0,5.0754759311676025
49,13,8,5,6,6.750528812408447,-1.0,5.913093757629395
50,1,8,5,3,4.0513014793396,-1.0,2.978501319885254
51,0,8,5,3,5.100062847137451,-1.0,5.090176582336426
52,4,8,5,3,6.766862869262695,-1.0,10.0
53,8,3,10,14,-0.1744561791419983,-1.0,2.588507056236267
54,4,3,10,14,1.4206910133361816,-1.0,1.2337146997451782
55,0,3,10,14,3.1581199169158936,-1.0,1.9139746189117433
56,5,3,10,14,3.569500684738159,-1.0,2.6411781311035156
57,1,3,10,14,5.7324066162109375,-1.0,2.8292683601379394
58,2,3,10,14,4.254742622375488,-1.0,10.0
59,10,8,3,0,6.438015460968018,-1.0,6.364493656158447
60,9,8,3,0,8.182770729064941,-1.0,10.0
61,5,15,8,13,3.0380868911743164,-1.0,3.7816765785217283
62,6,15,8,13,6.214418888092041,-1.0,6.048074531555176
63,7,15,8,13,7.063281059265137,-1.0,7.35698137283325
64,11,15,8,13,9.285534858703612,-1.0,10.0
65,1,11,13,4,6.012601852416992,-1.0,4.2436473846435545
66,2,11,13,4,6.692073822021484,-1.0,5.340513801574708
67,3,11,13,4,7.739193439483643,-1.0,6.515266418457031
68,7,11,13,4,8.350296020507812,-1.0,10.0
69,2,12,7,0,2.099522829055786,-1.0,1.8999020338058474
70,6,12,7,0,3.61590576171875,-1.0,2.899764108657837
71,10,12,7,0,4.066810131072998,-1.0,4.475602245330811
72,9,12,7,0,6.089795112609863,-1.0,6.1426784038543705
73,9,14,1,5,4.9665727615356445,-1.0,5.664455556869506
74,13,14,1,5,7.404950618743896,-1.0,10.0
75,12,5,15,6,3.6987500190734863,-1.0,3.3642780780792236
76,8,5,15,6,4.849197864532471,-1.0,4.584694337844849
77,2,0,11,1,3.808174848556519,-1.0,0.3396310091018677
78,6,0,11,1,4.391809940338135,-1.0,2.458715605735779
79,5,0,11,1,5.582533359527588,-1.0,4.544435453414917
80,4,0,11,1,6.1604838371276855,-1.0,10.0
81,8,2,15,6,3.717604637145996,-1.0,2.7749542713165285
