,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
0,19,4,5,24,4.973314762115479,-1.0,2.5246895790100097
1,14,4,5,24,8.10116958618164,-1.0,6.0244590759277346
2,9,4,5,24,7.804954528808594,-1.0,10.0
3,20,12,11,6,1.7167577743530271,-1.0,2.8099873542785647
4,21,12,11,6,4.233319282531738,-1.0,4.67061858177185
5,23,12,11,6,4.542519569396973,-1.0,5.531814527511597
6,18,12,11,6,8.496683120727539,-1.0,7.449983215332031
7,13,12,11,6,9.388870239257812,-1.0,10.0
8,5,18,15,9,3.7407851219177246,-1.0,1.6368526458740238
9,6,18,15,9,4.902251243591309,-1.0,2.8038749217987062
10,11,18,15,9,4.47096586227417,-1.0,4.871719884872436
11,16,18,15,9,5.401304721832275,-1.0,5.394137811660767
12,17,18,15,9,7.104597568511963,-1.0,10.0
13,11,14,8,21,1.464174747467041,-1.0,3.3665894985198976
14,12,14,8,21,7.072979927062988,-1.0,4.792120504379272
15,20,16,17,8,6.039652824401856,-1.0,7.3133690834045435
16,15,16,17,8,9.23707675933838,-1.0,10.0
17,5,3,4,11,1.8795363903045652,-1.0,1.8231537342071533
18,6,3,4,11,3.894937038421631,-1.0,3.081939315795899
19,1,3,4,11,4.535488128662109,-1.0,4.624218511581421
20,16,18,22,4,5.613828659057617,-1.0,6.114646100997925
21,17,18,22,4,7.905162334442139,-1.0,10.0
22,3,7,0,4,6.539714336395264,-1.0,7.313756179809571
23,8,7,0,4,9.237506866455078,-1.0,10.0
24,21,4,17,19,-2.782667636871338,-1.0,-2.069784688949585
25,22,4,17,19,-0.4503203630447387,-1.0,-2.5112909913063053
26,23,4,17,19,1.602391004562378,-1.0,-0.6123964428901671
27,18,4,17,19,3.939961433410645,-1.0,0.5352691888809205
28,13,4,17,19,2.7668278217315674,-1.0,3.2278257369995123
29,8,4,17,19,5.81203031539917,-1.0,5.578729152679443
30,14,4,17,19,7.3121209144592285,-1.0,3.9741780757904053
31,9,4,17,19,5.526864528656006,-1.0,10.0
32,10,17,14,21,4.925619125366211,-1.0,4.284068059921265
33,11,17,14,21,5.960738182067871,-1.0,6.569918251037598
34,12,17,14,21,8.411020278930664,-1.0,10.0
35,20,8,16,3,0.7270286083221436,-1.0,0.20976864099502568
36,21,8,16,3,1.898167610168457,-1.0,1.7026648283004762
37,22,8,16,3,2.4693517684936523,-1.0,2.040489482879639
38,17,8,16,3,4.837587833404541,-1.0,3.394762563705445
39,12,8,16,3,4.5267415046691895,-1.0,6.281986331939698
40,18,3,7,24,4.105755805969238,-1.0,3.040460777282715
41,13,3,7,24,6.857642650604248,-1.0,4.649158763885498
42,8,3,7,24,6.276843070983887,-1.0,10.0
43,5,22,14,3,1.776236057281494,-1.0,1.8075443506240845
44,6,22,14,3,1.666019320487976,-1.0,2.8310064315795898
45,7,22,14,3,3.534643173217773,-1.0,3.5796307086944585
46,12,22,14,3,5.753517150878906,-1.0,5.315866231918335
