,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
0,7,4,13,14,4.31151819229126,-1.0,4.4566709995269775
1,6,4,13,14,6.047539234161377,-1.0,5.839164781570434
2,5,4,13,14,8.547612190246582,-1.0,10.0
3,15,6,2,10,2.9993274211883545,-1.0,4.0820269107818605
4,11,6,2,10,3.967476129531861,-1.0,5.978525066375732
5,7,6,2,10,7.75391674041748,-1.0,10.0
6,12,6,4,11,3.1964125633239746,-1.0,1.9382350921630862
7,13,6,4,11,5.791378498077393,-1.0,4.008100509643555
8,9,6,4,11,7.284238815307617,-1.0,6.109846878051758
9,10,6,4,11,7.899829864501953,-1.0,10.0
10,8,6,10,9,5.076484203338623,-1.0,1.5929564714431765
11,0,10,2,11,4.064970016479492,-1.0,3.717091131210327
12,4,10,2,11,5.255124568939209,-1.0,5.096399307250977
13,5,10,2,11,6.201505184173584,-1.0,6.062621116638184
14,13,4,12,3,6.968000888824463,-1.0,4.9424456596374515
15,0,5,15,8,7.653361797332764,-1.0,7.2983967781066905
16,4,5,15,8,9.220440864562988,-1.0,10.0
17,15,5,10,11,0.7291010618209839,-1.0,0.8254402160644527
18,14,5,10,11,1.262500286102295,-1.0,3.241985654830933
19,13,5,10,11,6.340884685516357,-1.0,5.1151872158050535
20,9,5,10,11,6.794652462005615,-1.0,10.0
21,3,0,11,15,6.14780330657959,-1.0,5.007961940765381
22,2,0,11,15,8.41926383972168,-1.0,5.833589220046997
23,1,0,11,15,7.59287691116333,-1.0,10.0
24,15,0,8,1,1.8763271570205688,-1.0,1.3224129915237426
25,14,0,8,1,2.7301688194274902,-1.0,2.135612201690674
26,13,0,8,1,2.3371760845184326,-1.0,3.112857246398926
27,9,0,8,1,3.851663589477539,-1.0,4.411841630935669
28,15,2,9,3,3.311739444732666,-1.0,2.3562489986419677
29,9,10,8,15,8.372428894042969,-1.0,10.0
30,6,8,12,9,-0.2389321774244308,-1.0,0.19271333217620845
31,5,8,12,9,4.416036605834961,-1.0,3.834203672409058
32,4,8,12,9,5.371337413787842,-1.0,10.0
33,6,0,15,3,5.192089080810547,-1.0,4.610646963119507
34,2,0,15,3,7.587575435638428,-1.0,5.315673112869263
35,1,0,15,3,7.017414569854736,-1.0,10.0
36,5,2,1,8,7.657125949859619,-1.0,5.817393827438353
37,7,5,0,8,7.262607574462891,-1.0,6.227952480316162
38,8,5,6,3,6.683541297912598,-1.0,6.261786937713623
39,4,5,6,3,8.068652153015137,-1.0,10.0
40,15,9,5,3,6.032599449157715,-1.0,5.640317392349243
41,14,9,5,3,6.6368255615234375,-1.0,7.450160884857178
42,10,9,5,3,9.389067649841309,-1.0,10.0
43,15,10,4,3,7.410308837890625,-1.0,7.5664425849914565
44,11,10,4,3,9.518269538879396,-1.0,10.0
45,15,9,10,0,5.341253280639648,-1.0,3.728588581085206
46,14,9,10,0,6.221328258514404,-1.0,5.998604726791382
47,13,9,10,0,7.7762274742126465,-1.0,10.0
48,9,11,8,5,6.122698783874512,-1.0,6.426498603820801
49,10,11,8,5,8.251665115356445,-1.0,10.0
50,15,5,13,6,2.2156922817230225,-1.0,3.6046125888824463
51,14,5,13,6,4.426950454711914,-1.0,4.58658561706543
52,10,5,13,6,6.3596954345703125,-1.0,7.22762851715088
53,2,8,15,9,4.93019962310791,-1.0,3.225226354598999
54,1,8,15,9,6.395996570587158,-1.0,4.9888238430023195
55,0,8,15,9,9.321776390075684,-1.0,6.109171390533447
56,7,2,1,0,5.78485107421875,-1.0,6.543690967559814
57,3,2,1,0,8.381878852844238,-1.0,10.0
58,10,3,8,0,7.253060817718506,-1.0,4.739656066894532
59,12,3,11,10,-1.5682543516159058,-1.0,-4.314037036895751
60,13,3,11,10,1.3456478118896484,-1.0,-2.494673418998718
61,9,3,11,10,1.799107551574707,-1.0,-1.4788404524326324
62,1,3,11,10,5.422644138336182,-1.0,5.50461049079895
63,12,15,2,13,1.5413886308670044,-1.0,1.606853532791138
64,8,15,2,13,2.396754741668701,-1.0,3.2398094177246097
65,9,15,2,13,2.454526424407959,-1.0,4.846638870239258
66,15,10,9,14,6.436744213104248,-1.0,4.722166347503662
67,4,2,9,12,6.085438251495361,-1.0,5.206941938400269
68,5,2,9,12,7.721565246582031,-1.0,6.0365049839019775
